2026-05-14 10:21:24 | INFO | master | Epoch 2 | batch 2000/3402 | train_loss=1.053001 | train_loss_pointwise=1.053001 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:28 | INFO | master | Epoch 2 | batch 2100/3402 | train_loss=0.963823 | train_loss_pointwise=0.963823 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:33 | INFO | master | Epoch 2 | batch 2200/3402 | train_loss=1.010303 | train_loss_pointwise=1.010303 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:37 | INFO | master | Epoch 2 | batch 2300/3402 | train_loss=0.994686 | train_loss_pointwise=0.994686 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:42 | INFO | master | Epoch 2 | batch 2400/3402 | train_loss=1.030919 | train_loss_pointwise=1.030919 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:46 | INFO | master | Epoch 2 | batch 2500/3402 | train_loss=1.110425 | train_loss_pointwise=1.110425 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:51 | INFO | master | Epoch 2 | batch 2600/3402 | train_loss=1.004270 | train_loss_pointwise=1.004270 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:56 | INFO | master | Epoch 2 | batch 2700/3402 | train_loss=1.000705 | train_loss_pointwise=1.000705 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:00 | INFO | master | Epoch 2 | batch 2800/3402 | train_loss=0.955539 | train_loss_pointwise=0.955539 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:04 | INFO | master | Epoch 2 | batch 2900/3402 | train_loss=1.038997 | train_loss_pointwise=1.038997 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:09 | INFO | master | Epoch 2 | batch 3000/3402 | train_loss=0.967559 | train_loss_pointwise=0.967559 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:13 | INFO | master | Epoch 2 | batch 3100/3402 | train_loss=1.007053 | train_loss_pointwise=1.007053 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:18 | INFO | master | Epoch 2 | batch 3200/3402 | train_loss=0.958638 | train_loss_pointwise=0.958638 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:22 | INFO | master | Epoch 2 | batch 3300/3402 | train_loss=1.071357 | train_loss_pointwise=1.071357 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:26 | INFO | master | Epoch 2 | batch 3400/3402 | train_loss=1.015757 | train_loss_pointwise=1.015757 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:26 | INFO | master | Epoch 2 | batch 3402/3402 | train_loss=1.013562 | train_loss_pointwise=1.013562 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:39 | INFO | master | Epoch 2 | train_loss=0.995067 | valid_loss=0.993600 | valid_loss_pointwise=0.993600 | valid_loss_ranknet=0.000000 | valid_loss_lambda=0.000000 | monitor=rank_ic=0.066365 | early_stop_bad_epochs=0/10 | R2=0.004029 | IC=0.069685 | ICIR=0.493980 | RIC=0.066365 | RICIR=0.481512 | samples=143608.000000 | total_trading_days=479.000000 | NDCG@30=0.388967 | NDCGIR@30=3.360026 | PORTFOLIO_NDCG_HARD@30=0.395345 | PORTFOLIO_NDCG_HARDIR@30=3.824710 | PORTFOLIO_NDCG_SOFT@30=0.398842 | PORTFOLIO_NDCG_SOFTIR@30=3.936043 | TOPK_OVERLAP@5=0.006263 | TOPK_OVERLAPIR@5=0.179799 | TOPK_OVERLAP@10=0.023173 | TOPK_OVERLAPIR@10=0.432868 | TOPK_OVERLAP@20=0.051357 | TOPK_OVERLAPIR@20=0.790529 | TOPK_OVERLAP@30=0.089492 | TOPK_OVERLAPIR@30=1.231271 | TOPK_OVERLAP@40=0.126827 | TOPK_OVERLAPIR@40=1.671093 | TOPK_OVERLAP@50=0.166722 | TOPK_OVERLAPIR@50=2.112773
2026-05-14 10:22:39 | INFO | master | Monitor rank_ic improved at epoch 2. Best epoch=2, best_monitor_value=0.066365 | best_valid_loss=0.993600 | best_train_loss=0.995067
2026-05-14 10:22:44 | INFO | master | Epoch 3 | batch 100/3402 | train_loss=1.032645 | train_loss_pointwise=1.032645 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:47 | INFO | master | Epoch 3 | batch 200/3402 | train_loss=0.991748 | train_loss_pointwise=0.991748 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:51 | INFO | master | Epoch 3 | batch 300/3402 | train_loss=0.981369 | train_loss_pointwise=0.981369 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:22:55 | INFO | master | Epoch 3 | batch 400/3402 | train_loss=0.987464 | train_loss_pointwise=0.987464 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:00 | INFO | master | Epoch 3 | batch 500/3402 | train_loss=1.005697 | train_loss_pointwise=1.005697 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:04 | INFO | master | Epoch 3 | batch 600/3402 | train_loss=1.029952 | train_loss_pointwise=1.029952 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:08 | INFO | master | Epoch 3 | batch 700/3402 | train_loss=1.018249 | train_loss_pointwise=1.018249 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:12 | INFO | master | Epoch 3 | batch 800/3402 | train_loss=0.895694 | train_loss_pointwise=0.895694 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:16 | INFO | master | Epoch 3 | batch 900/3402 | train_loss=0.978311 | train_loss_pointwise=0.978311 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:21 | INFO | master | Epoch 3 | batch 1000/3402 | train_loss=1.019961 | train_loss_pointwise=1.019961 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:25 | INFO | master | Epoch 3 | batch 1100/3402 | train_loss=1.109747 | train_loss_pointwise=1.109747 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:31 | INFO | master | Epoch 3 | batch 1200/3402 | train_loss=1.024058 | train_loss_pointwise=1.024058 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:35 | INFO | master | Epoch 3 | batch 1300/3402 | train_loss=0.950309 | train_loss_pointwise=0.950309 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:39 | INFO | master | Epoch 3 | batch 1400/3402 | train_loss=1.001945 | train_loss_pointwise=1.001945 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:44 | INFO | master | Epoch 3 | batch 1500/3402 | train_loss=0.984466 | train_loss_pointwise=0.984466 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:48 | INFO | master | Epoch 3 | batch 1600/3402 | train_loss=1.007805 | train_loss_pointwise=1.007805 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:52 | INFO | master | Epoch 3 | batch 1700/3402 | train_loss=0.958923 | train_loss_pointwise=0.958923 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:23:57 | INFO | master | Epoch 3 | batch 1800/3402 | train_loss=0.979510 | train_loss_pointwise=0.979510 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:01 | INFO | master | Epoch 3 | batch 1900/3402 | train_loss=0.971769 | train_loss_pointwise=0.971769 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:06 | INFO | master | Epoch 3 | batch 2000/3402 | train_loss=0.976704 | train_loss_pointwise=0.976704 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:11 | INFO | master | Epoch 3 | batch 2100/3402 | train_loss=0.993352 | train_loss_pointwise=0.993352 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:15 | INFO | master | Epoch 3 | batch 2200/3402 | train_loss=1.036424 | train_loss_pointwise=1.036424 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:19 | INFO | master | Epoch 3 | batch 2300/3402 | train_loss=1.004725 | train_loss_pointwise=1.004725 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:24 | INFO | master | Epoch 3 | batch 2400/3402 | train_loss=0.975596 | train_loss_pointwise=0.975596 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:29 | INFO | master | Epoch 3 | batch 2500/3402 | train_loss=0.937609 | train_loss_pointwise=0.937609 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:33 | INFO | master | Epoch 3 | batch 2600/3402 | train_loss=0.912821 | train_loss_pointwise=0.912821 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:38 | INFO | master | Epoch 3 | batch 2700/3402 | train_loss=0.966971 | train_loss_pointwise=0.966971 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:42 | INFO | master | Epoch 3 | batch 2800/3402 | train_loss=0.904640 | train_loss_pointwise=0.904640 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:47 | INFO | master | Epoch 3 | batch 2900/3402 | train_loss=0.980087 | train_loss_pointwise=0.980087 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:51 | INFO | master | Epoch 3 | batch 3000/3402 | train_loss=1.028620 | train_loss_pointwise=1.028620 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:24:55 | INFO | master | Epoch 3 | batch 3100/3402 | train_loss=0.970621 | train_loss_pointwise=0.970621 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:00 | INFO | master | Epoch 3 | batch 3200/3402 | train_loss=0.961716 | train_loss_pointwise=0.961716 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:04 | INFO | master | Epoch 3 | batch 3300/3402 | train_loss=0.979327 | train_loss_pointwise=0.979327 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:09 | INFO | master | Epoch 3 | batch 3400/3402 | train_loss=0.977530 | train_loss_pointwise=0.977530 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:09 | INFO | master | Epoch 3 | batch 3402/3402 | train_loss=0.967773 | train_loss_pointwise=0.967773 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:21 | INFO | master | Epoch 3 | train_loss=0.988366 | valid_loss=0.994126 | valid_loss_pointwise=0.994126 | valid_loss_ranknet=0.000000 | valid_loss_lambda=0.000000 | monitor=rank_ic=0.065167 | early_stop_bad_epochs=1/10 | R2=0.003501 | IC=0.068609 | ICIR=0.447349 | RIC=0.065167 | RICIR=0.434035 | samples=143608.000000 | total_trading_days=479.000000 | NDCG@30=0.388267 | NDCGIR@30=2.996037 | PORTFOLIO_NDCG_HARD@30=0.393138 | PORTFOLIO_NDCG_HARDIR@30=3.321019 | PORTFOLIO_NDCG_SOFT@30=0.396505 | PORTFOLIO_NDCG_SOFTIR@30=3.416236 | TOPK_OVERLAP@5=0.004175 | TOPK_OVERLAPIR@5=0.146020 | TOPK_OVERLAP@10=0.013987 | TOPK_OVERLAPIR@10=0.343062 | TOPK_OVERLAP@20=0.042693 | TOPK_OVERLAPIR@20=0.774782 | TOPK_OVERLAP@30=0.078706 | TOPK_OVERLAPIR@30=1.191670 | TOPK_OVERLAP@40=0.115031 | TOPK_OVERLAPIR@40=1.538785 | TOPK_OVERLAP@50=0.152651 | TOPK_OVERLAPIR@50=1.843676
2026-05-14 10:25:25 | INFO | master | Epoch 4 | batch 100/3402 | train_loss=1.017552 | train_loss_pointwise=1.017552 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:30 | INFO | master | Epoch 4 | batch 200/3402 | train_loss=0.994967 | train_loss_pointwise=0.994967 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:34 | INFO | master | Epoch 4 | batch 300/3402 | train_loss=0.977653 | train_loss_pointwise=0.977653 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:39 | INFO | master | Epoch 4 | batch 400/3402 | train_loss=0.987683 | train_loss_pointwise=0.987683 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:43 | INFO | master | Epoch 4 | batch 500/3402 | train_loss=0.945228 | train_loss_pointwise=0.945228 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:48 | INFO | master | Epoch 4 | batch 600/3402 | train_loss=0.955952 | train_loss_pointwise=0.955952 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:52 | INFO | master | Epoch 4 | batch 700/3402 | train_loss=0.989801 | train_loss_pointwise=0.989801 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:25:56 | INFO | master | Epoch 4 | batch 800/3402 | train_loss=1.015226 | train_loss_pointwise=1.015226 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
